C,CO,O,OM,M,Ms,s,sG,G,GR,R,RA,A,AN,N,ND,D,DE,E,ES,S,Ss,s,sP,P,PO,O,OD,D,DE,E,ER,R,RE,E,ES,S,Ss,s,sV,V,VE,E,EM,M,Ms,s,sG,G,GR,R,RA,A,AN,N,ND,D,DE,E,ES,S,Ss,s,sR,R,RE,E,ES,S,SP,P,PO,O,ON,N,NS,S,SA,A,AB,B,BI,I,IL,L,LI,I,ID,D,DA,A,AD,D,DE,E,ES,S,CLASS
-0.092,-0.024,-0.12,-0.062,-0.103,-0.185,-0.097,-0.299,-0.392,-0.043,-0.104,-0.208,-0.083,-0.028,-0.094,-0.058,-0.125,-0.051,-0.091,-0.177,-0.079,-0.056,-0.096,-0.417,-0.476,-0.076,-0.136,-0.036,-0.153,-0.003,-0.129,-0.357,-0.477,-0.022,-0.139,-0.361,-0.052,-0.393,-0.094,-0.456,-0.145,-0.311,-0.065,-0.954,-0.093,-0.921,-0.099,-0.212,-0.28,-0.032,-0.081,-0.304,-0.08,-0.197,-0.096,-0.168,-0.24,-0.011,-0.095,-0.248,-0.064,-0.09,-0.108,-0.472,-0.56,-0.031,-0.092,-0.164,-0.073,-0.059,-0.151,-0.064,-0.124,-0.008,-0.093,-0.028,-0.16,-0.053,-0.104,-0.452,-0.067,-0.105,-0.076,-0.181,-0.064,-0.168,-0.072,-0.06,-0.145,-0.027,-0.099,-0.178,-0.153,-0.001,-0.078,-0.304,-0.048,5
-0.064,-0.585,-0.124,-0.4,-0.111,-0.582,-0.099,-0.486,-0.128,-0.368,-0.084,-0.472,-0.08,-0.469,-0.072,-0.476,-0.11,-0.383,-0.095,-0.437,-0.07,-0.214,-0.114,-0.595,-0.132,-0.064,-0.107,-0.506,-0.119,-0.512,-0.101,-0.319,-0.177,-0.008,-0.12,-0.364,-0.075,-0.186,-0.072,-0.671,-0.105,-0.263,-0.086,-0.16,-0.068,-0.331,-0.073,-0.348,-0.132,-0.039,-0.121,-0.373,-0.068,-0.207,-0.089,-0.236,-0.348,-0.047,-0.155,-0.269,-0.084,-0.198,-0.087,-0.376,-0.455,-0.048,-0.108,-0.718,-0.195,-0.994,-0.147,-0.008,-0.136,-0.229,-0.08,-0.176,-0.308,-0.085,-0.117,-0.576,-0.071,-0.19,-0.089,-0.212,-0.071,-0.196,-0.092,-0.292,-0.433,-0.032,-0.116,-0.233,-0.119,-0.02,-0.101,-0.428,-0.051,5
-0.104,-0.6,-0.144,-0.573,-0.112,-0.984,-0.089,-0.736,-0.141,-0.388,-0.121,-0.699,-0.097,-3.344,-0.071,-0.328,-0.112,-0.345,-0.072,-0.352,-0.06,-1.285,-0.085,-0.4,-0.149,-0.244,-0.08,-0.345,-0.116,-0.364,-0.079,-1.105,-1.202,-0.041,-0.088,-0.256,-0.072,-1.177,-0.085,-0.438,-0.094,-0.566,-0.099,-0.661,-0.112,-0.416,-0.068,-0.301,-0.145,-0.247,-0.104,-0.364,-0.098,-0.299,-0.076,-0.457,-0.108,-0.314,-0.071,-0.377,-0.083,-0.329,-0.061,-0.475,-0.105,-0.28,-0.068,-0.3,-0.06,-0.436,-0.122,-0.247,-0.072,-0.498,-0.083,-0.168,-0.376,-0.02,-0.104,-0.777,-0.06,-0.192,-0.091,-0.371,-0.083,-0.333,-0.123,-0.176,-0.14,-0.021,-0.116,-0.381,-0.107,-0.204,-0.076,-0.789,-0.052,5
-0.08,-0.405,-0.056,-0.34,-0.092,-0.697,-0.048,-0.377,-0.104,-0.288,-0.069,-0.392,-0.08,-0.391,-0.074,-0.336,-0.08,-0.36,-0.059,-0.371,-0.076,-0.76,-0.101,-0.354,-0.093,-0.254,-0.087,-0.38,-0.088,-0.336,-0.105,-0.351,-0.093,-0.308,-0.084,-0.389,-0.076,-0.255,-0.072,-1.029,-0.077,-0.364,-0.061,-0.412,-0.068,-0.448,-0.06,-0.491,-0.071,-0.31,-0.077,-0.436,-0.071,-0.317,-0.064,-0.308,-0.088,-0.37,-0.071,-0.304,-0.055,-0.733,-0.047,-0.326,-0.086,-0.243,-0.079,-0.292,-0.085,-0.212,-0.108,-0.001,-0.033,-0.95,-0.072,-0.293,-0.164,-0.343,-0.093,-0.517,-0.083,-0.193,-0.09,-0.378,-0.088,-0.317,-0.103,-0.257,-0.127,-0.262,-0.091,-0.301,-0.079,-0.345,-0.074,-0.351,-0.046,5
-0.083,-0.393,-0.124,-0.364,-0.104,-0.489,-0.083,-0.421,-0.099,-0.269,-0.087,-0.285,-0.08,-0.27,-0.063,-0.344,-0.087,-0.325,-0.077,-0.432,-0.047,-0.874,-0.123,-0.261,-0.1,-0.26,-0.1,-0.22,-0.14,-0.245,-0.084,-0.603,-0.096,-0.246,-0.113,-0.354,-0.077,-0.259,-0.085,-0.3,-0.076,-0.381,-0.064,-0.217,-0.087,-0.455,-0.069,-0.236,-0.144,-0.245,-0.096,-0.324,-0.072,-0.231,-0.089,-0.252,-0.121,-0.245,-0.082,-0.276,-0.08,-0.312,-0.065,-0.285,-0.405,-0.047,-0.119,-0.241,-0.068,-1.802,-1.933,-0.036,-0.127,-0.183,-0.073,-0.214,-0.33,-0.047,-0.091,-0.489,-0.075,-0.109,-0.076,-0.212,-0.089,-0.192,-0.092,-0.212,-0.335,-0.032,-0.113,-0.148,-0.144,-0.337,-0.091,-0.312,-0.064,5
-0.092,-0.003,-0.076,-0.052,-0.093,-0.11,-0.083,-0.02,-0.084,-0.04,-0.08,-0.148,-0.072,-0.055,-0.076,-0.052,-0.128,-0.032,-0.088,-0.133,-0.064,-0.013,-0.076,-0.111,-0.176,-0.051,-0.057,-0.002,-0.055,-0.047,-0.111,-0.096,-0.155,-0.04,-0.077,-0.139,-0.064,-0.053,-0.081,-0.128,-0.248,-0.002,-0.075,-0.016,-0.088,-0.173,-0.06,-0.024,-0.068,-0.056,-0.096,-0.132,-0.068,-0.016,-0.068,-0.053,-0.113,-0.031,-0.087,-0.14,-0.084,-0.041,-0.088,-0.063,-0.136,-0.024,-0.047,-0.145,-0.084,-0.048,-0.084,-0.088,-0.028,-0.04,-0.04,-0.02,-0.057,-0.064,-0.091,-0.238,-0.095,-0.071,-0.072,-0.124,-0.064,-0.096,-0.161,-0.007,-0.056,-0.023,-0.097,-0.029,-0.116,-0.041,-0.106,-0.135,-0.037,7
-0.082,-0.025,-0.096,-0.045,-0.093,-0.113,-0.08,-0.007,-0.068,-0.048,-0.084,-0.123,-0.094,-0.079,-0.072,-0.039,-0.096,-0.048,-0.104,-0.136,-0.063,-0.017,-0.072,-0.149,-0.185,-0.044,-0.104,-0.056,-0.103,-0.05,-0.117,-0.084,-0.144,-0.033,-0.076,-0.119,-0.069,-0.064,-0.064,-0.114,-0.185,-0.048,-0.095,-0.033,-0.067,-0.121,-0.064,-0.028,-0.06,-0.044,-0.092,-0.148,-0.074,-0.048,-0.055,-0.084,-0.153,-0.039,-0.083,-0.135,-0.057,-0.024,-0.061,-0.083,-0.143,-0.029,-0.082,-0.115,-0.072,-0.045,-0.101,-0.075,-0.036,-0.039,-0.042,-0.031,-0.036,-0.063,-0.096,-0.21,-0.075,-0.024,-0.076,-0.132,-0.06,-0.115,-0.053,-0.012,-0.055,-0.036,-0.107,-0.022,-0.111,-0.039,-0.1,-0.14,-0.032,7
-0.092,-0.068,-0.181,-0.056,-0.115,-0.22,-0.107,-0.022,-0.099,-0.047,-0.088,-0.135,-0.085,0,-0.087,-0.012,-0.073,-0.048,-0.087,-0.124,-0.188,-0.013,-0.077,-0.1,-0.153,-0.196,-0.008,-0.069,-0.007,-0.037,-0.1,-0.097,-0.157,-0.031,-0.075,-0.104,-0.069,-0.035,-0.077,-0.085,-0.16,-0.032,-0.088,-0.02,-0.068,-0.108,-0.172,-0.008,-0.049,-0.043,-0.08,-0.139,-0.068,-0.029,-0.084,-0.012,-0.072,-0.049,-0.104,-0.132,-0.085,-0.002,-0.085,-0.071,-0.132,-0.037,-0.069,-0.111,-0.062,-0.036,-0.071,-0.081,-0.028,-0.048,0,-0.047,-0.021,-0.068,-0.1,-0.147,-0.232,-0.002,-0.079,-0.124,-0.062,-0.099,-0.163,-0.008,-0.037,-0.036,-0.099,-0.032,-0.101,-0.056,-0.1,-0.123,-0.048,7
-0.104,-0.035,-0.155,-0.064,-0.132,-0.421,-0.105,-0.188,-0.284,-0.06,-0.12,-0.235,-0.088,-0.089,-0.099,-0.122,-0.242,-0.04,-0.115,-0.237,-0.084,-0.063,-0.091,-0.199,-0.291,-0.063,-0.116,-0.1,-0.219,-0.053,-0.144,-0.129,-0.209,-0.03,-0.079,-0.161,-0.096,-0.137,-0.095,-0.14,-0.269,-0.028,-0.101,-0.084,-0.066,-0.165,-0.069,-0.092,-0.182,-0.041,-0.113,-0.225,-0.104,-0.057,-0.099,-0.12,-0.188,-0.072,-0.137,-0.196,-0.095,-0.033,-0.116,-0.184,-0.271,-0.038,-0.098,-0.148,-0.083,-0.065,-0.129,-0.099,-0.028,-0.041,-0.063,-0.003,-0.082,-0.077,-0.104,-0.284,-0.077,-0.043,-0.096,-0.176,-0.07,-0.152,-0.068,-0.036,-0.119,-0.027,-0.105,-0.144,-0.116,-0.024,-0.069,-0.351,-0.057,5
-0.124,-0.301,-0.131,-0.252,-0.101,-0.393,-0.079,-0.421,-0.136,-0.304,-0.08,-0.412,-0.088,-0.377,-0.076,-0.356,-0.1,-0.324,-0.089,-0.384,-0.079,-0.117,-0.097,-0.483,-0.107,-0.278,-0.097,-0.3,-0.132,-0.312,-0.112,-0.364,-0.116,-0.244,-0.113,-0.364,-0.072,-0.325,-0.053,-0.258,-0.092,-0.381,-0.068,-0.344,-0.073,-0.413,-0.075,-0.315,-0.109,-0.249,-0.112,-0.36,-0.08,-0.345,-0.072,-0.337,-0.114,-0.27,-0.101,-0.336,-0.087,-0.286,-0.076,-0.359,-0.088,-0.297,-0.076,-0.369,-0.067,-0.286,-0.398,-0.015,-0.071,-0.813,-0.084,-0.312,-0.16,-0.286,-0.068,-0.36,-0.071,-0.186,-0.128,-0.247,-0.133,-0.312,-0.124,-0.549,-0.145,-0.223,-0.133,-0.168,-0.117,-0.249,-0.086,-0.301,-0.031,5
-0.021,-0.059,-0.065,-0.104,-0.894,-0.063,-1.124,-0.188,-0.032,-0.061,-0.149,-0.068,-0.048,-0.06,-0.08,-0.171,-0.029,-0.089,-0.219,-0.019,-1.884,-0.055,-1.274,-1.361,-0.044,-0.128,-0.001,-0.076,-0.044,-0.124,-0.137,-0.217,-0.043,-0.084,-0.128,-0.068,-1.967,-0.056,-1.661,-0.076,-0.167,-0.069,-0.1,-0.06,-1.482,-0.052,-0.914,-0.994,-0.046,-0.103,-0.159,-0.077,-0.055,-0.06,-0.089,-0.189,-0.036,-0.088,-0.137,-0.055,-0.937,-0.069,-1.194,-1.281,-0.048,-0.088,-0.161,-0.071,-0.153,-0.24,-0.059,-0.037,-0.037,-0.101,-0.035,-0.144,-0.028,-0.051,-0.677,-0.059,-0.61,-0.104,-0.46,-0.099,-0.169,-0.097,-0.341,-0.103,-0.153,-0.122,-0.133,-0.104,-0.172,-0.092,-0.29,-0.067,-0.067,5
-0.095,-0.036,-0.116,-0.044,-0.087,-0.109,-0.065,-0.042,-0.103,-0.043,-0.088,-0.136,-0.062,-0.017,-0.074,-0.103,-0.175,-0.057,-0.101,-0.141,-0.067,-0.02,-0.068,-0.136,-0.188,-0.06,-0.116,0,-0.072,-0.044,-0.116,-0.156,-0.22,-0.036,-0.076,-0.148,-0.068,-0.064,-0.064,-0.145,-0.249,-0.027,-0.1,-0.04,-0.075,-0.144,-0.064,-0.073,-0.124,-0.057,-0.108,-0.16,-0.088,-0.06,-0.1,-0.053,-0.141,-0.045,-0.109,-0.148,-0.063,-0.02,-0.073,-0.072,-0.136,-0.029,-0.084,-0.135,-0.06,-0.044,-0.088,-0.092,-0.017,-0.044,-0.011,-0.033,-0.056,-0.06,-0.104,-0.196,-0.073,-0.02,-0.084,-0.143,-0.065,-0.12,-0.084,-0.002,-0.056,-0.031,-0.112,-0.024,-0.108,-0.048,-0.1,-0.137,-0.043,8
-0.021,-0.06,-0.056,-0.104,-0.079,-0.136,-0.033,-0.044,-0.047,-0.087,-0.121,-0.08,-0.016,-0.072,-0.039,-0.096,-0.049,-0.094,-0.111,-0.065,0,-0.082,-0.124,-0.157,-0.077,0,-0.037,-0.023,-0.056,-0.115,-0.072,-0.132,-0.033,-0.072,-0.1,-0.064,-0.008,-0.08,-0.077,-0.137,-0.056,-0.103,-0.001,-0.063,-0.108,-0.16,-0.017,-0.044,-0.048,-0.084,-0.108,-0.077,-0.023,-0.081,-0.04,-0.092,-0.047,-0.1,-0.119,-0.067,-0.038,-0.075,-0.093,-0.154,-0.032,-0.06,-0.108,-0.064,-0.039,-0.092,-0.1,-0.007,-0.041,-0.012,-0.048,-0.028,-0.065,-0.093,-0.176,-0.072,-0.003,-0.097,-0.133,-0.06,-0.104,-0.072,-0.003,-0.055,-0.029,-0.088,-0.038,-0.101,-0.044,-0.087,-0.17,-0.051,-0.043,7
